Title,Option,Colour,Length,Where,Width,Weight,Price,Description.
J-trim (Soffit Starter),Toggle,White,5m,External Frame Perimeter,?,?,4.75,Fixed externally at top of frame. Pinned to underside of ply ring-beam soffit to fix soffit board. Used on every roof but should have a toggle option to remove if required.
J-trim (Soffit Starter),Toggle,Foiled,5m,External Frame Perimeter,?,?,8.97,Fixed externally at top of frame. Pinned to underside of ply ring-beam soffit to fix soffit board.Used on every roof but should have a toggle option to remove if required.
H-Trim,n/a,White,150mm,Soffit,n/a,n/a,1.37,Used to join soffit at corners 1 per joint.
H-Trim,n/a,foiled,150mm,Soffit,n/a,n/a,2.00,Used to join soffit at corners 1 per joint.
Soffit Board,toggle,White,5m,Perimeter of Roof,100mm,2,8.89,Pinned to underside of ply ring-beam to create soffit (variable option).
Soffit Board,toggle,White,5m,Perimeter of Roof,150mm,2.2,11.47,Pinned to underside of ply ring-beam to create soffit (variable option).
Soffit Board,toggle,White,5m,Perimeter of Roof,175mm,2.4,13.59,Pinned to underside of ply ring-beam to create soffit (variable option).
Soffit Board,toggle,White,5m,Perimeter of Roof,200mm,2.4,13.59,Pinned to underside of ply ring-beam to create soffit (variable option).
Soffit Board,toggle,Foiled,5m,Perimeter of Roof,100mm,2,18.81,Pinned to underside of ply ring-beam to create soffit (variable option).
Soffit Board,toggle,Foiled,5m,Perimeter of Roof,150mm,2.2,26.29,Pinned to underside of ply ring-beam to create soffit (variable option).
Soffit Board,toggle,Foiled,5m,Perimeter of Roof,175mm,2.4,27.19,Pinned to underside of ply ring-beam to create soffit (variable option).
Soffit Board,toggle,Foiled,5m,Perimeter of Roof,200mm,2.4,29.22,Pinned to underside of ply ring-beam to create soffit (variable option).
Fascia,n/a,White,5m,Perimeter of Roof,200mm,4.6,13.41,Fixed around external face of roof to create fascia.
Fascia,n/a,White,5m,Perimeter of Roof,225mm,5,15.95,Fixed around external face of roof to create fascia.
Fascia,n/a,White,5m,Perimeter of Roof,250mm,5.5,18.42,Fixed around external face of roof to create fascia.
Fascia,n/a,White,5m,Perimeter of Roof,300mm,6.5,22.57,Fixed around external face of roof to create fascia.
Fascia,n/a,White,5m,Perimeter of Roof,400mm,9,31.33,Fixed around external face of roof to create fascia.
Fascia,n/a,Foiled,5m,Perimeter of Roof,200mm,4.6,27.15,Fixed around external face of roof to create fascia.
Fascia,n/a,Foiled,5m,Perimeter of Roof,225mm,5,32.43,Fixed around external face of roof to create fascia.
Fascia,Foiled,5m,Perimeter of Roof,250mm,5.5,35.13,Fixed around external face of roof to create fascia.
Fascia,n/a,Foiled,5m,Perimeter of Roof,300mm,6.5,39.62,Fixed around external face of roof to create fascia.
Fascia,n/a,Foiled,5m,Perimeter of Roof,400mm,9,56.30,Fixed around external face of roof to create fascia.
Vent Disc,All,n/a,Perimeter of Roof,n/a,n/a,0.50,Option Toggle to include or not. Should be priced @ 1 per metre whether chosen or not. When Chosen, added to material list, when not chosen still priced but not added to material list.
